"/bat_state/current_x","/bat_state/current_y","/bat_state/voltage_x","/bat_state/voltage_y"
-101979.7669,-0.2300000042,-101921.9877,22.9090004,
-101979.7669,-0.2300000042,-101921.8282,22.87299919,
-101979.5879,-0.2300000042,-101921.6485,22.9090004,
-101979.5879,-0.2300000042,-101921.4683,22.9090004,
-101979.4285,-0.2300000042,-101921.3056,22.87299919,
-101979.4285,-0.2300000042,-101921.1286,22.9090004,
-101979.2485,-0.2399999946,-101920.9691,22.87299919,
-101979.2485,-0.2399999946,-101920.7876,22.90399933,
-101979.0892,-0.2300000042,-101920.6086,22.91399956,
-101979.0892,-0.2300000042,-101920.4477,22.87800026,
-101978.907,-0.2399999946,-101920.2676,22.90399933,
-101978.907,-0.2399999946,-101920.0875,22.88299942,
-101978.7285,-0.2399999946,-101919.9277,22.85199928,
-101978.7285,-0.2399999946,-101919.7476,22.9090004,
-101978.5676,-0.2300000042,-101919.588,22.89900017,
-101978.5676,-0.2300000042,-101919.4077,22.9090004,
-101978.3873,-0.2199999988,-101919.2275,22.9090004,
-101978.3873,-0.2199999988,-101919.0662,22.85199928,
-101978.208,-0.2300000042,-101918.8876,22.91399956,
-101978.208,-0.2300000042,-101918.7284,22.87800026,
-101978.0477,-0.2300000042,-101918.548,22.9090004,
-101978.0477,-0.2300000042,-101918.3678,22.9090004,
-101977.8673,-0.2300000042,-101918.2082,22.86700058,
-101977.8673,-0.2300000042,-101918.028,22.90399933,
-101977.7064,-0.2300000042,-101917.8669,22.85700035,
-101977.7064,-0.2300000042,-101917.688,22.9090004,
-101977.5276,-0.2399999946,-101917.5077,22.9090004,
-101977.5276,-0.2399999946,-101917.3484,22.87800026,
-101977.3476,-0.2399999946,-101917.1678,22.91399956,
-101977.3476,-0.2399999946,-101916.9883,22.89900017,
-101977.1878,-0.2199999988,-101916.8272,22.85199928,
-101977.1878,-0.2199999988,-101916.6487,22.89900017,
-101977.0076,-0.2300000042,-101916.4877,22.90399933,
-101977.0076,-0.2300000042,-101916.3078,22.9090004,
-101976.848,-0.2399999946,-101916.1289,22.91399956,
-101976.848,-0.2399999946,-101915.9679,22.86700058,
-101976.6677,-0.2399999946,-101915.7879,22.91399956,
-101976.6677,-0.2399999946,-101915.6268,22.87299919,
-101976.4878,-0.2300000042,-101915.448,22.9090004,
-101976.4878,-0.2300000042,-101915.2678,22.9090004,
-101976.3282,-0.09000000358,-101915.1066,22.86199951,
-101976.3282,-0.09000000358,-101914.9279,22.91399956,
-101976.148,-0.2199999988,-101914.7685,22.86199951,
-101976.148,-0.2199999988,-101914.5882,22.9090004,
-101975.9889,0,-101914.4079,22.9090004,
-101975.9889,0,-101914.2483,22.88800049,
-101975.8082,-0.009999999776,-101914.0683,22.9090004,
-101975.8082,-0.009999999776,-101913.8879,22.90399933,
-101975.6278,-0.009999999776,-101913.7285,22.86199951,
-101975.6278,-0.009999999776,-101913.5482,22.9090004,
-101975.4689,0,-101913.3885,22.88299942,
-101975.4689,0,-101913.2085,22.9090004,
-101975.2883,-0.009999999776,-101913.0283,22.9090004,
-101975.2883,-0.009999999776,-101912.8685,22.86700058,
-101975.1077,0,-101912.6886,22.91399956,
-101975.1077,0,-101912.5276,22.86700058,
-101974.9489,0,-101912.3473,22.9090004,
-101974.9489,0,-101912.1687,22.91399956,
-101974.7671,0,-101912.0077,22.89900017,
-101974.7671,0,-101911.8285,22.90399933,
-101974.6089,0.009999999776,-101911.6489,22.89299965,
-101974.6089,0.009999999776,-101911.4875,22.85199928,
-101974.4284,0,-101911.3068,22.9090004,
-101974.4284,0,-101911.1478,22.86199951,
-101974.2476,0.009999999776,-101910.9676,22.90399933,
-101974.2476,0.009999999776,-101910.7878,22.9090004,
-101974.186,0.009999999776,-101910.6282,22.85700035,
-101974.186,0.009999999776,-101910.4477,22.9090004,
-101969.1276,0,-101910.2881,22.86700058,
-101969.1276,0,-101910.1063,22.90399933,
-101964.0644,0.009999999776,-101909.9278,22.91399956,
-101964.0644,0.009999999776,-101909.7684,22.86700058,
-101959.0071,0.009999999776,-101909.5877,22.9090004,
-101959.0071,0.009999999776,-101909.4285,22.86199951,
-101953.9461,0,-101909.2467,22.91399956,
-101953.9461,0,-101909.0682,22.90399933,
-101948.8877,0.009999999776,-101908.9086,22.89900017,
-101948.8877,0.009999999776,-101908.728,22.91399956,
-101943.8277,0,-101908.5476,22.90399933,
-101943.8277,0,-101908.3882,22.86199951,
-101938.7676,0,-101908.2076,22.9090004,
-101938.7676,0,-101908.0469,22.86199951,
-101933.7068,0.009999999776,-101907.8679,22.91399956,
-101933.7068,0.009999999776,-101907.6879,22.91399956,
-101928.5485,-0.2300000042,-101907.5283,22.87299919,
-101928.3687,-0.2399999946,-101907.3478,22.90399933,
-101928.1885,-0.2199999988,-101907.1868,22.86199951,
-101928.0285,-0.2300000042,-101907.0077,22.9090004,
-101927.8484,-0.2300000042,-101906.8265,22.91399956,
-101927.6876,-0.2300000042,-101906.6686,22.86700058,
-101927.5073,-0.2199999988,-101906.4882,22.91399956,
-101927.3286,-0.2199999988,-101906.3068,22.89900017,
-101927.1663,-0.2399999946,-101906.1469,22.85700035,
-101927.1663,-0.2399999946,-101905.9683,22.9090004,
-101926.9887,-0.2300000042,-101905.8085,22.87800026,
-101926.9887,-0.2300000042,-101905.6286,22.90399933,
-101926.8084,-0.2399999946,-101905.4481,22.89900017,
-101926.8084,-0.2399999946,-101905.2873,22.87800026,
-101926.6475,-0.2300000042,-101905.1085,22.91399956,
-101926.6475,-0.2300000042,-101904.9492,22.87800026,
-101926.4673,-0.2399999946,-101904.7686,22.9090004,
-101926.4673,-0.2399999946,-101904.588,22.9090004,
-101926.3078,-0.2199999988,-101904.4273,22.87800026,
-101926.3078,-0.2199999988,-101904.2472,22.91399956,
-101926.1276,-0.2199999988,-101904.0685,22.89900017,
-101926.1276,-0.2199999988,-101903.9086,22.85700035,
-101925.9485,-0.2399999946,-101903.7282,22.91399956,
-101925.9485,-0.2399999946,-101903.5672,22.88800049,
-101925.7877,-0.2199999988,-101903.3874,22.91900063,
